Localidad,Estrato,Edad,EnfRespiratorias,Humedad,NivelVentilacion,ContAire,Sexo,Count
L1,E1,0,ENF1,H1,V1,CA1,F,21.0
L1,E1,0,ENF1,H1,V1,CA1,M,15.0
L1,E1,0,ENF1,H1,V1,CA1,I,0.0
L1,E1,0,ENF1,H1,V1,CA2,F,2.0
L1,E1,0,ENF1,H1,V1,CA2,M,2.0
L1,E1,0,ENF1,H1,V1,CA2,I,0.0
L1,E1,0,ENF1,H1,V2,CA1,F,3.0
L1,E1,0,ENF1,H1,V2,CA1,M,0.0
L1,E1,0,ENF1,H1,V2,CA1,I,0.0
L1,E1,0,ENF1,H1,V2,CA2,F,0.0
L1,E1,0,ENF1,H1,V2,CA2,M,0.0
L1,E1,0,ENF1,H1,V2,CA2,I,0.0
L1,E1,0,ENF1,H2,V1,CA1,F,20.0
L1,E1,0,ENF1,H2,V1,CA1,M,17.0
L1,E1,0,ENF1,H2,V1,CA1,I,0.0
L1,E1,0,ENF1,H2,V1,CA2,F,1.0
L1,E1,0,ENF1,H2,V1,CA2,M,2.0
L1,E1,0,ENF1,H2,V1,CA2,I,0.0
L1,E1,0,ENF1,H2,V2,CA1,F,1.0
L1,E1,0,ENF1,H2,V2,CA1,M,3.0
L1,E1,0,ENF1,H2,V2,CA1,I,0.0
L1,E1,0,ENF1,H2,V2,CA2,F,1.0
L1,E1,0,ENF1,H2,V2,CA2,M,0.0
L1,E1,0,ENF1,H2,V2,CA2,I,0.0
L1,E1,0,ENF2,H1,V1,CA1,F,0.0
L1,E1,0,ENF2,H1,V1,CA1,M,0.0
L1,E1,0,ENF2,H1,V1,CA1,I,0.0
L1,E1,0,ENF2,H1,V1,CA2,F,0.0
L1,E1,0,ENF2,H1,V1,CA2,M,0.0
L1,E1,0,ENF2,H1,V1,CA2,I,0.0
L1,E1,0,ENF2,H1,V2,CA1,F,0.0
L1,E1,0,ENF2,H1,V2,CA1,M,0.0
L1,E1,0,ENF2,H1,V2,CA1,I,0.0
L1,E1,0,ENF2,H1,V2,CA2,F,0.0
L1,E1,0,ENF2,H1,V2,CA2,M,0.0
L1,E1,0,ENF2,H1,V2,CA2,I,0.0
L1,E1,0,ENF2,H2,V1,CA1,F,1.0
L1,E1,0,ENF2,H2,V1,CA1,M,0.0
L1,E1,0,ENF2,H2,V1,CA1,I,0.0
L1,E1,0,ENF2,H2,V1,CA2,F,0.0
L1,E1,0,ENF2,H2,V1,CA2,M,0.0
L1,E1,0,ENF2,H2,V1,CA2,I,0.0
L1,E1,0,ENF2,H2,V2,CA1,F,0.0
L1,E1,0,ENF2,H2,V2,CA1,M,0.0
L1,E1,0,ENF2,H2,V2,CA1,I,0.0
L1,E1,0,ENF2,H2,V2,CA2,F,0.0
L1,E1,0,ENF2,H2,V2,CA2,M,0.0
L1,E1,0,ENF2,H2,V2,CA2,I,0.0
L1,E1,18,ENF1,H1,V1,CA1,F,18.0
L1,E1,18,ENF1,H1,V1,CA1,M,18.0
L1,E1,18,ENF1,H1,V1,CA1,I,0.0
L1,E1,18,ENF1,H1,V1,CA2,F,1.0
L1,E1,18,ENF1,H1,V1,CA2,M,0.0
L1,E1,18,ENF1,H1,V1,CA2,I,0.0
L1,E1,18,ENF1,H1,V2,CA1,F,1.0
L1,E1,18,ENF1,H1,V2,CA1,M,2.0
L1,E1,18,ENF1,H1,V2,CA1,I,0.0
L1,E1,18,ENF1,H1,V2,CA2,F,0.0
L1,E1,18,ENF1,H1,V2,CA2,M,0.0
L1,E1,18,ENF1,H1,V2,CA2,I,0.0
L1,E1,18,ENF1,H2,V1,CA1,F,12.0
L1,E1,18,ENF1,H2,V1,CA1,M,8.0
L1,E1,18,ENF1,H2,V1,CA1,I,0.0
L1,E1,18,ENF1,H2,V1,CA2,F,4.0
L1,E1,18,ENF1,H2,V1,CA2,M,2.0
L1,E1,18,ENF1,H2,V1,CA2,I,0.0
L1,E1,18,ENF1,H2,V2,CA1,F,5.0
L1,E1,18,ENF1,H2,V2,CA1,M,3.0
L1,E1,18,ENF1,H2,V2,CA1,I,0.0
L1,E1,18,ENF1,H2,V2,CA2,F,1.0
L1,E1,18,ENF1,H2,V2,CA2,M,0.0
L1,E1,18,ENF1,H2,V2,CA2,I,0.0
L1,E1,18,ENF2,H1,V1,CA1,F,0.0
L1,E1,18,ENF2,H1,V1,CA1,M,0.0
L1,E1,18,ENF2,H1,V1,CA1,I,0.0
L1,E1,18,ENF2,H1,V1,CA2,F,0.0
L1,E1,18,ENF2,H1,V1,CA2,M,0.0
L1,E1,18,ENF2,H1,V1,CA2,I,0.0
L1,E1,18,ENF2,H1,V2,CA1,F,0.0
L1,E1,18,ENF2,H1,V2,CA1,M,0.0
L1,E1,18,ENF2,H1,V2,CA1,I,0.0
L1,E1,18,ENF2,H1,V2,CA2,F,0.0
L1,E1,18,ENF2,H1,V2,CA2,M,0.0
L1,E1,18,ENF2,H1,V2,CA2,I,0.0
L1,E1,18,ENF2,H2,V1,CA1,F,0.0
L1,E1,18,ENF2,H2,V1,CA1,M,0.0
L1,E1,18,ENF2,H2,V1,CA1,I,0.0
L1,E1,18,ENF2,H2,V1,CA2,F,0.0
L1,E1,18,ENF2,H2,V1,CA2,M,0.0
L1,E1,18,ENF2,H2,V1,CA2,I,0.0
L1,E1,18,ENF2,H2,V2,CA1,F,0.0
L1,E1,18,ENF2,H2,V2,CA1,M,0.0
L1,E1,18,ENF2,H2,V2,CA1,I,0.0
L1,E1,18,ENF2,H2,V2,CA2,F,0.0
L1,E1,18,ENF2,H2,V2,CA2,M,0.0
L1,E1,18,ENF2,H2,V2,CA2,I,0.0
